1497980701849764096,-0.03553,0.01301,-0.10946,0.96735,-0.24799,0.01516,-0.05001,-0.00244,-0.05317,-0.13156,
1497980701949298944,0.00005,-0.01410,-0.02769,0.97141,-0.22915,0.02290,-0.05763,0.02345,-0.07255,-0.06395,
1497980702048850176,0.00087,-0.01857,-0.04246,0.97338,-0.21848,0.02520,-0.06456,0.02664,-0.08362,-0.06561,
1497980702148401408,-0.00719,-0.01252,-0.06795,0.97353,-0.21734,0.02584,-0.06578,0.02289,-0.06963,-0.07309,
1497980702247975936,-0.01671,-0.00752,-0.08245,0.97278,-0.22108,0.02448,-0.06496,0.01118,-0.06586,-0.07052,
1497980702347561728,-0.02105,-0.01159,-0.08778,0.97074,-0.23101,0.02462,-0.06069,0.00515,-0.06756,-0.05277,
1497980702447123712,-0.02187,-0.02050,-0.09893,0.96838,-0.24117,0.03058,-0.05601,0.00668,-0.06681,-0.03039,
1497980702546678016,-0.02134,-0.02915,-0.10225,0.96211,-0.26478,0.03776,-0.05304,0.01742,-0.06060,0.02738,
1497980702646221568,-0.01976,-0.03883,-0.10046,0.95121,-0.30175,0.04287,-0.04810,0.04091,-0.07334,0.07455,
1497980702745767680,-0.01178,-0.04693,-0.08944,0.93876,-0.33880,0.04977,-0.03828,0.07419,-0.06860,0.07727,
1497980702845305600,-0.00360,-0.04754,-0.07360,0.92880,-0.36657,0.05012,-0.02101,0.10339,-0.02933,0.03666,
1497980702944847104,0.00815,-0.04023,-0.06501,0.92205,-0.38531,0.03594,0.00837,0.11964,0.02883,-0.00624,
1497980703044395264,0.02011,-0.03530,-0.06260,0.91787,-0.39366,0.01369,0.04855,0.11918,0.07079,-0.04452,
1497980703143922176,0.03529,-0.03303,-0.06426,0.91327,-0.39480,-0.00768,0.10003,0.12866,0.10846,-0.04817,
1497980703243431680,0.04711,-0.01687,-0.07626,0.90542,-0.39584,-0.01971,0.15210,0.11146,0.16372,-0.04652,
1497980703342941184,0.05421,0.01513,-0.07757,0.89515,-0.39885,-0.03554,0.19585,0.07512,0.20557,-0.02418,
1497980703442474240,0.06442,0.03566,-0.07980,0.88325,-0.40337,-0.05193,0.23338,0.08614,0.23067,0.03345,
1497980703542001152,0.08658,0.03937,-0.07780,0.86489,-0.41594,-0.06957,0.27224,0.15501,0.19041,0.07075,
